iter	Logloss
0	0.5107835648
1	0.4730522427
2	0.4600049567
3	0.455178725
4	0.4527276272
5	0.4518319293
6	0.4508822029
7	0.4500099157
8	0.4494979067
9	0.4490815929
10	0.4487992587
11	0.4483107421
12	0.4480113337
13	0.4477717611
14	0.4475437779
15	0.4473109299
16	0.4471021925
17	0.4468396319
18	0.4466603745
19	0.4464989079
20	0.4462958594
21	0.4461077752
22	0.4459647267
23	0.4458639205
24	0.4456984829
25	0.4455004312
26	0.4453736293
27	0.4452534078
28	0.445072993
29	0.4449145783
30	0.4447220837
31	0.44458423
32	0.444420869
33	0.4442697568
34	0.4441401555
35	0.4440026309
36	0.4439150625
37	0.4437931397
38	0.4436538928
39	0.4435064927
40	0.4433359483
41	0.4432495665
42	0.4431489128
43	0.4430584201
44	0.4429299459
45	0.4428050997
46	0.4426943745
47	0.4426009863
48	0.4425103905
49	0.4424500772
50	0.442375559
51	0.4422288272
52	0.4421116794
53	0.4420086258
54	0.4419225444
55	0.4418231241
56	0.441758053
57	0.4416882853
58	0.4416088566
59	0.4415275289
60	0.4414356849
61	0.4413602297
62	0.4412715747
63	0.441185574
64	0.4411183221
65	0.4410331063
66	0.4409554467
67	0.4408891788
68	0.4408226231
69	0.4407569681
70	0.4406751601
71	0.4406169177
72	0.4405636408
73	0.4404978188
74	0.4404281277
75	0.4403236991
76	0.4402624797
77	0.4402245897
78	0.4401379953
79	0.440065863
80	0.4400216653
81	0.4399699057
82	0.4398825186
83	0.4397912088
84	0.439730254
85	0.439675531
86	0.4396257812
87	0.4395713483
88	0.4395310795
89	0.439471129
90	0.4394013586
91	0.4393336118
92	0.4393062568
93	0.439251585
94	0.4391931682
95	0.4391278919
96	0.4390765044
97	0.4389946663
98	0.4389375355
99	0.4388952839
