iter	Passed	Remaining
0	438	43413
1	939	46034
2	1456	47108
3	1828	43874
4	2161	41060
5	2501	39191
6	2804	37265
7	3136	36071
8	3500	35388
9	3811	34299
10	4125	33377
11	4552	33387
12	4912	32874
13	5308	32610
14	5807	32906
15	6092	31987
16	6370	31103
17	6608	30104
18	6895	29397
19	7231	28927
20	7604	28608
21	7879	27935
22	8161	27322
23	8457	26781
24	8711	26134
25	9064	25797
26	9452	25555
27	9783	25158
28	10128	24796
29	10438	24355
30	10725	23872
31	11114	23617
32	11599	23551
33	12036	23365
34	12422	23070
35	12818	22787
36	13225	22519
37	13706	22363
38	14193	22199
39	14528	21793
40	14908	21453
41	15428	21306
42	15723	20842
43	16023	20393
44	16316	19941
45	16727	19636
46	17062	19241
47	17345	18790
48	17693	18415
49	18003	18003
50	18258	17542
51	18481	17060
52	18769	16644
53	19052	16229
54	19326	15812
55	19586	15389
56	19944	15045
57	20254	14667
58	20593	14311
59	20892	13928
60	21206	13558
61	21562	13215
62	21821	12815
63	22098	12430
64	22438	12082
65	22755	11722
66	23011	11333
67	23362	10994
68	23706	10650
69	24000	10285
70	24329	9937
71	24694	9603
72	25034	9259
73	25354	8908
74	25640	8546
75	25926	8187
76	26210	7829
77	26530	7483
78	26924	7157
79	27433	6858
80	27809	6523
81	28330	6218
82	28787	5896
83	29286	5578
84	29740	5248
85	30068	4894
86	30468	4552
87	30965	4222
88	31260	3863
89	31667	3518
90	32131	3177
91	32430	2820
92	32752	2465
93	33041	2109
94	33411	1758
95	33716	1404
96	34061	1053
97	34360	701
98	34767	351
99	35141	0
